Seyonic Pipettor Initializing...,Tue Jun  6 11:04:03 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 11:37:44 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 11:38:06 2023,
close_valve(channel=0),Tue Jun  6 11:38:08 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 11:38:09 2023,
dispense(pressure=100),Tue Jun  6 11:38:25 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 11:38:25 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 11:38:27 2023,
dispense(pressure=100),Tue Jun  6 11:38:33 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 11:38:33 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 11:38:35 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 11:38:49 2023,
close_valve(channel=0),Tue Jun  6 11:38:51 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 11:38:52 2023,
dispense(pressure=100),Tue Jun  6 11:39:08 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 11:39:08 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 11:39:10 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 11:39:32 2023,
close_valve(channel=0),Tue Jun  6 11:39:34 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 11:39:35 2023,
dispense(pressure=100),Tue Jun  6 11:39:51 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 11:39:51 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 11:39:54 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 11:40:43 2023,
close_valve(channel=0),Tue Jun  6 11:40:44 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 11:40:46 2023,
dispense(pressure=100),Tue Jun  6 11:41:04 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 11:41:04 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 11:41:06 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 11:41:24 2023,
close_valve(channel=0),Tue Jun  6 11:41:25 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 11:41:26 2023,
dispense(pressure=100),Tue Jun  6 11:41:44 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 11:41:44 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 11:41:46 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 11:45:36 2023,
close_valve(channel=0),Tue Jun  6 11:45:37 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 11:45:38 2023,
dispense(pressure=100),Tue Jun  6 11:45:55 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 11:45:55 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 11:45:57 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 11:45:59 2023,
close_valve(channel=0),Tue Jun  6 11:46:00 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 11:46:01 2023,
dispense(pressure=100),Tue Jun  6 11:46:04 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 11:46:04 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 11:46:06 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 11:46:08 2023,
close_valve(channel=0),Tue Jun  6 11:46:09 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 11:46:10 2023,
dispense(pressure=100),Tue Jun  6 11:46:12 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 11:46:12 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 11:46:14 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 11:46:16 2023,
close_valve(channel=0),Tue Jun  6 11:46:18 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 11:46:19 2023,
dispense(pressure=100),Tue Jun  6 11:46:21 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 11:46:21 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 11:46:23 2023,
dispense(pressure=100),Tue Jun  6 11:48:35 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 11:48:35 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 11:48:37 2023,
