Seyonic Pipettor Initializing...,Tue Nov  7 13:01:06 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:46:30 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:46:34 2023,
set_pressure(pressure=-100; direction=None),Tue Nov  7 13:46:37 2023,
close_valve(channel=0),Tue Nov  7 13:46:40 2023,
set_pressure(pressure=0; direction=2),Tue Nov  7 13:46:41 2023,
dispense(pressure=100),Tue Nov  7 13:46:43 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:46:43 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:46:46 2023,
set_pressure(pressure=-100; direction=None),Tue Nov  7 13:46:50 2023,
close_valve(channel=0),Tue Nov  7 13:46:53 2023,
set_pressure(pressure=0; direction=2),Tue Nov  7 13:46:54 2023,
dispense(pressure=100),Tue Nov  7 13:47:02 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:47:02 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:47:06 2023,
set_pressure(pressure=-100; direction=None),Tue Nov  7 13:49:30 2023,
close_valve(channel=0),Tue Nov  7 13:49:34 2023,
set_pressure(pressure=0; direction=2),Tue Nov  7 13:49:35 2023,
dispense(pressure=100),Tue Nov  7 13:49:44 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:49:44 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:49:49 2023,
set_pressure(pressure=-100; direction=None),Tue Nov  7 13:50:22 2023,
close_valve(channel=0),Tue Nov  7 13:50:24 2023,
set_pressure(pressure=0; direction=2),Tue Nov  7 13:50:25 2023,
dispense(pressure=100),Tue Nov  7 13:50:34 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:50:34 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:50:37 2023,
set_pressure(pressure=-100; direction=None),Tue Nov  7 13:50:49 2023,
close_valve(channel=0),Tue Nov  7 13:50:51 2023,
set_pressure(pressure=0; direction=2),Tue Nov  7 13:50:52 2023,
dispense(pressure=100),Tue Nov  7 13:50:53 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:50:53 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:50:56 2023,
set_pressure(pressure=-100; direction=None),Tue Nov  7 13:50:58 2023,
close_valve(channel=0),Tue Nov  7 13:50:59 2023,
set_pressure(pressure=0; direction=2),Tue Nov  7 13:51:00 2023,
dispense(pressure=100),Tue Nov  7 13:51:01 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:51:01 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:51:04 2023,
set_pressure(pressure=-100; direction=None),Tue Nov  7 13:51:06 2023,
close_valve(channel=0),Tue Nov  7 13:51:08 2023,
set_pressure(pressure=0; direction=2),Tue Nov  7 13:51:09 2023,
dispense(pressure=100),Tue Nov  7 13:51:10 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:51:10 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:51:13 2023,
set_pressure(pressure=-100; direction=None),Tue Nov  7 13:51:35 2023,
close_valve(channel=0),Tue Nov  7 13:51:37 2023,
set_pressure(pressure=0; direction=2),Tue Nov  7 13:51:38 2023,
dispense(pressure=100),Tue Nov  7 13:51:39 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:51:39 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:51:41 2023,
dispense(pressure=100),Tue Nov  7 13:52:04 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:52:04 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:52:06 2023,
set_pressure(pressure=-100; direction=None),Tue Nov  7 13:54:12 2023,
close_valve(channel=0),Tue Nov  7 13:54:15 2023,
set_pressure(pressure=0; direction=2),Tue Nov  7 13:54:16 2023,
dispense(pressure=100),Tue Nov  7 13:54:25 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:54:25 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:54:28 2023,
dispense(pressure=100),Tue Nov  7 13:54:35 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:54:35 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:54:37 2023,
dispense(pressure=100),Tue Nov  7 13:54:44 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:54:44 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:54:46 2023,
set_pressure(pressure=-100; direction=None),Tue Nov  7 13:54:55 2023,
close_valve(channel=0),Tue Nov  7 13:54:58 2023,
