Seyonic Pipettor Initializing...,Mon Jul 10 16:00:32 2023,
set_pressure(pressure=100; direction=1),Mon Jul 10 16:56:37 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:56:39 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 10 16:56:41 2023,
close_valve(channel=0),Mon Jul 10 16:56:42 2023,
set_pressure(pressure=0; direction=2),Mon Jul 10 16:56:43 2023,
dispense(pressure=100),Mon Jul 10 16:56:44 2023,
set_pressure(pressure=100; direction=1),Mon Jul 10 16:56:44 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:56:46 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 10 16:56:48 2023,
close_valve(channel=0),Mon Jul 10 16:56:49 2023,
set_pressure(pressure=0; direction=2),Mon Jul 10 16:56:50 2023,
dispense(pressure=100),Mon Jul 10 16:56:51 2023,
set_pressure(pressure=100; direction=1),Mon Jul 10 16:56:51 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:56:53 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 10 16:56:56 2023,
close_valve(channel=0),Mon Jul 10 16:56:57 2023,
set_pressure(pressure=0; direction=2),Mon Jul 10 16:56:58 2023,
dispense(pressure=100),Mon Jul 10 16:56:59 2023,
set_pressure(pressure=100; direction=1),Mon Jul 10 16:56:59 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:57:01 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 10 16:57:33 2023,
close_valve(channel=0),Mon Jul 10 16:57:35 2023,
set_pressure(pressure=0; direction=2),Mon Jul 10 16:57:36 2023,
dispense(pressure=100),Mon Jul 10 16:57:37 2023,
set_pressure(pressure=100; direction=1),Mon Jul 10 16:57:37 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:57:39 2023,
dispense(pressure=100),Mon Jul 10 16:57:45 2023,
set_pressure(pressure=100; direction=1),Mon Jul 10 16:57:45 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:57:47 2023,
