Seyonic Pipettor Initializing...,Thu Jul 27 15:21:47 2023,
close_valve(channel=0),Thu Jul 27 15:32:43 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 15:32:44 2023,
dispense(pressure=200),Thu Jul 27 15:32:50 2023,
set_pressure(pressure=200; direction=1),Thu Jul 27 15:32:50 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 15:32:53 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 15:33:00 2023,
close_valve(channel=0),Thu Jul 27 15:33:02 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 15:33:03 2023,
dispense(pressure=200),Thu Jul 27 15:33:09 2023,
set_pressure(pressure=200; direction=1),Thu Jul 27 15:33:09 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 15:33:11 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 15:33:18 2023,
close_valve(channel=0),Thu Jul 27 15:33:21 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 15:33:22 2023,
dispense(pressure=200),Thu Jul 27 15:33:28 2023,
set_pressure(pressure=200; direction=1),Thu Jul 27 15:33:28 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 15:33:30 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 15:33:37 2023,
close_valve(channel=0),Thu Jul 27 15:33:39 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 15:33:40 2023,
dispense(pressure=200),Thu Jul 27 15:33:46 2023,
set_pressure(pressure=200; direction=1),Thu Jul 27 15:33:46 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 15:33:49 2023,
dispense(pressure=100),Thu Jul 27 15:33:59 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 15:33:59 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 15:34:01 2023,
dispense(pressure=100),Thu Jul 27 15:34:05 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 15:34:05 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 15:34:07 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 15:40:34 2023,
close_valve(channel=0),Thu Jul 27 15:40:36 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 15:40:37 2023,
dispense(pressure=100),Thu Jul 27 15:40:48 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 15:40:48 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 15:40:51 2023,
dispense(pressure=100),Thu Jul 27 15:40:55 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 15:40:55 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 15:40:57 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 15:41:09 2023,
close_valve(channel=0),Thu Jul 27 15:41:11 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 15:41:12 2023,
dispense(pressure=100),Thu Jul 27 15:41:22 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 15:41:22 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 15:41:25 2023,
dispense(pressure=100),Thu Jul 27 15:41:29 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 15:41:29 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 15:41:31 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 15:42:03 2023,
close_valve(channel=0),Thu Jul 27 15:42:05 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 15:42:06 2023,
dispense(pressure=100),Thu Jul 27 15:42:15 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 15:42:15 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 15:42:17 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 15:42:39 2023,
close_valve(channel=0),Thu Jul 27 15:42:41 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 15:42:42 2023,
dispense(pressure=100),Thu Jul 27 15:42:51 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 15:42:51 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 15:42:53 2023,
dispense(pressure=100),Thu Jul 27 15:42:57 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 15:42:57 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 15:42:59 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 15:43:09 2023,
close_valve(channel=0),Thu Jul 27 15:43:11 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 15:43:12 2023,
dispense(pressure=100),Thu Jul 27 15:43:21 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 15:43:21 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 15:43:23 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 15:43:45 2023,
close_valve(channel=0),Thu Jul 27 15:43:47 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 15:43:48 2023,
dispense(pressure=100),Thu Jul 27 15:43:57 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 15:43:57 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 15:44:00 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 15:44:33 2023,
close_valve(channel=0),Thu Jul 27 15:44:34 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 15:44:35 2023,
dispense(pressure=100),Thu Jul 27 15:44:46 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 15:44:46 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 15:44:48 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 15:44:59 2023,
close_valve(channel=0),Thu Jul 27 15:45:01 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 15:45:02 2023,
dispense(pressure=100),Thu Jul 27 15:45:12 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 15:45:12 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 15:45:14 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 15:48:48 2023,
close_valve(channel=0),Thu Jul 27 15:48:50 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 15:48:51 2023,
dispense(pressure=100),Thu Jul 27 15:49:01 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 15:49:01 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 15:49:03 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 15:49:05 2023,
close_valve(channel=0),Thu Jul 27 15:49:06 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 15:49:07 2023,
dispense(pressure=100),Thu Jul 27 15:49:08 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 15:49:08 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 15:49:10 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 15:49:12 2023,
close_valve(channel=0),Thu Jul 27 15:49:14 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 15:49:15 2023,
dispense(pressure=100),Thu Jul 27 15:49:16 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 15:49:16 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 15:49:18 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 15:49:20 2023,
close_valve(channel=0),Thu Jul 27 15:49:21 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 15:49:22 2023,
dispense(pressure=100),Thu Jul 27 15:49:23 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 15:49:23 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 15:49:25 2023,
set_pressure(pressure=-20; direction=None),Thu Jul 27 15:49:27 2023,
close_valve(channel=0),Thu Jul 27 15:49:28 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 15:49:29 2023,
dispense(pressure=20),Thu Jul 27 15:49:31 2023,
set_pressure(pressure=20; direction=1),Thu Jul 27 15:49:31 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 15:49:33 2023,
dispense(pressure=20),Thu Jul 27 15:49:38 2023,
set_pressure(pressure=20; direction=1),Thu Jul 27 15:49:38 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 15:49:40 2023,
dispense(pressure=100),Thu Jul 27 15:50:46 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 15:50:46 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 15:50:48 2023,
