Seyonic Pipettor Initializing...,Fri Aug 25 13:56:06 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:50:04 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:50:07 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 14:50:09 2023,
close_valve(channel=0),Fri Aug 25 14:50:12 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 14:50:13 2023,
dispense(pressure=100),Fri Aug 25 14:50:14 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:50:14 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:50:17 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 14:50:29 2023,
close_valve(channel=0),Fri Aug 25 14:50:32 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 14:50:33 2023,
dispense(pressure=100),Fri Aug 25 14:50:43 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:50:43 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:50:47 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 14:51:18 2023,
close_valve(channel=0),Fri Aug 25 14:51:21 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 14:51:22 2023,
dispense(pressure=100),Fri Aug 25 14:51:31 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:51:31 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:51:34 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 14:51:46 2023,
close_valve(channel=0),Fri Aug 25 14:51:49 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 14:51:50 2023,
dispense(pressure=100),Fri Aug 25 14:51:51 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:51:51 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:51:54 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 14:52:06 2023,
close_valve(channel=0),Fri Aug 25 14:52:10 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 14:52:11 2023,
dispense(pressure=100),Fri Aug 25 14:52:20 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:52:20 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:52:24 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 14:52:57 2023,
close_valve(channel=0),Fri Aug 25 14:52:58 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 14:52:59 2023,
dispense(pressure=100),Fri Aug 25 14:53:09 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:53:09 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:53:11 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 14:53:23 2023,
close_valve(channel=0),Fri Aug 25 14:53:24 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 14:53:25 2023,
dispense(pressure=100),Fri Aug 25 14:53:36 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:53:36 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:53:38 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 14:59:20 2023,
close_valve(channel=0),Fri Aug 25 14:59:22 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 14:59:23 2023,
dispense(pressure=100),Fri Aug 25 14:59:32 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:59:32 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:59:34 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 14:59:37 2023,
close_valve(channel=8),Fri Aug 25 14:59:37 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 14:59:39 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 14:59:39 2023,
dispense(pressure=100),Fri Aug 25 14:59:40 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:59:40 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:59:51 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 14:59:53 2023,
close_valve(channel=8),Fri Aug 25 14:59:54 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 14:59:55 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 14:59:55 2023,
dispense(pressure=100),Fri Aug 25 14:59:56 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:59:56 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:00:08 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 15:00:10 2023,
close_valve(channel=8),Fri Aug 25 15:00:11 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 15:00:12 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 15:00:12 2023,
dispense(pressure=100),Fri Aug 25 15:00:13 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 15:00:13 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:00:25 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 15:00:27 2023,
close_valve(channel=8),Fri Aug 25 15:00:28 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 15:00:29 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 15:00:29 2023,
dispense(pressure=100),Fri Aug 25 15:00:30 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 15:00:30 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:00:41 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 15:00:43 2023,
close_valve(channel=8),Fri Aug 25 15:00:44 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 15:00:45 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 15:00:45 2023,
dispense(pressure=100),Fri Aug 25 15:00:46 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 15:00:46 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:00:58 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 15:01:31 2023,
close_valve(channel=8),Fri Aug 25 15:01:32 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 15:01:33 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 15:01:33 2023,
dispense(pressure=100),Fri Aug 25 15:01:34 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 15:01:34 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:01:45 2023,
dispense(pressure=100),Fri Aug 25 15:01:51 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 15:01:51 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:02:03 2023,
