Seyonic Pipettor Initializing...,Wed Jul 12 13:22:24 2023,
close_valve(channel=0),Wed Jul 12 13:35:37 2023,
set_pressure(pressure=0; direction=2),Wed Jul 12 13:35:38 2023,
dispense(pressure=100),Wed Jul 12 13:35:47 2023,
set_pressure(pressure=100; direction=1),Wed Jul 12 13:35:47 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:35:50 2023,
dispense(pressure=100),Wed Jul 12 13:35:55 2023,
set_pressure(pressure=100; direction=1),Wed Jul 12 13:35:55 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:35:57 2023,
set_pressure(pressure=-100; direction=None),Wed Jul 12 13:36:06 2023,
close_valve(channel=0),Wed Jul 12 13:36:08 2023,
set_pressure(pressure=0; direction=2),Wed Jul 12 13:36:09 2023,
dispense(pressure=100),Wed Jul 12 13:36:18 2023,
set_pressure(pressure=100; direction=1),Wed Jul 12 13:36:18 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:36:21 2023,
