Seyonic Pipettor Initializing...,Tue Jun  6 09:42:06 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:42:07 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:42:09 2023,
dispense(pressure=100),Tue Jun  6 10:42:16 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:42:16 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:42:18 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 10:42:33 2023,
close_valve(channel=0),Tue Jun  6 10:42:36 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 10:42:37 2023,
dispense(pressure=100),Tue Jun  6 10:42:53 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:42:53 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:42:56 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 10:42:58 2023,
close_valve(channel=0),Tue Jun  6 10:43:01 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 10:43:02 2023,
dispense(pressure=100),Tue Jun  6 10:43:04 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:43:04 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:43:07 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 10:43:20 2023,
close_valve(channel=0),Tue Jun  6 10:43:23 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 10:43:24 2023,
dispense(pressure=100),Tue Jun  6 10:43:40 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:43:40 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:43:44 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 10:44:32 2023,
close_valve(channel=0),Tue Jun  6 10:44:35 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 10:44:36 2023,
dispense(pressure=100),Tue Jun  6 10:44:52 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:44:52 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:44:55 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 10:45:07 2023,
close_valve(channel=0),Tue Jun  6 10:45:10 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 10:45:11 2023,
dispense(pressure=100),Tue Jun  6 10:45:13 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:45:13 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:45:16 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 10:45:28 2023,
close_valve(channel=0),Tue Jun  6 10:45:32 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 10:45:33 2023,
dispense(pressure=100),Tue Jun  6 10:45:49 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:45:49 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:45:53 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 10:46:42 2023,
close_valve(channel=0),Tue Jun  6 10:46:43 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 10:46:44 2023,
dispense(pressure=100),Tue Jun  6 10:47:02 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:47:02 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:47:04 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 10:47:21 2023,
close_valve(channel=0),Tue Jun  6 10:47:22 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 10:47:23 2023,
dispense(pressure=100),Tue Jun  6 10:47:41 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:47:41 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:47:43 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 10:53:42 2023,
close_valve(channel=0),Tue Jun  6 10:53:44 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 10:53:45 2023,
dispense(pressure=100),Tue Jun  6 10:54:01 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:54:01 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:54:03 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 10:54:06 2023,
close_valve(channel=0),Tue Jun  6 10:54:07 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 10:54:09 2023,
dispense(pressure=100),Tue Jun  6 10:54:11 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:54:11 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:54:13 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 10:54:15 2023,
close_valve(channel=0),Tue Jun  6 10:54:16 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 10:54:17 2023,
dispense(pressure=100),Tue Jun  6 10:54:19 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:54:19 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:54:21 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 10:54:23 2023,
close_valve(channel=0),Tue Jun  6 10:54:25 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 10:54:26 2023,
dispense(pressure=100),Tue Jun  6 10:54:28 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:54:28 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:54:30 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 10:54:32 2023,
close_valve(channel=0),Tue Jun  6 10:54:33 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 10:54:34 2023,
dispense(pressure=100),Tue Jun  6 10:54:36 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:54:36 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:54:38 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 10:54:41 2023,
close_valve(channel=0),Tue Jun  6 10:54:42 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 10:54:43 2023,
dispense(pressure=100),Tue Jun  6 10:54:45 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:54:45 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:54:47 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 10:55:20 2023,
close_valve(channel=0),Tue Jun  6 10:55:21 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 10:55:22 2023,
dispense(pressure=100),Tue Jun  6 10:55:24 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:55:24 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:55:26 2023,
dispense(pressure=100),Tue Jun  6 10:55:34 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:55:34 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:55:36 2023,
