Seyonic Pipettor Initializing...,Wed Jul  5 13:34:12 2023,
set_pressure(pressure=100; direction=1),Wed Jul  5 14:08:09 2023,
set_pressure(pressure=0; direction=1),Wed Jul  5 14:08:11 2023,
set_pressure(pressure=-100; direction=None),Wed Jul  5 14:08:13 2023,
close_valve(channel=0),Wed Jul  5 14:08:15 2023,
set_pressure(pressure=0; direction=2),Wed Jul  5 14:08:16 2023,
dispense(pressure=100),Wed Jul  5 14:08:17 2023,
set_pressure(pressure=100; direction=1),Wed Jul  5 14:08:17 2023,
set_pressure(pressure=0; direction=1),Wed Jul  5 14:08:19 2023,
set_pressure(pressure=-100; direction=None),Wed Jul  5 14:08:21 2023,
close_valve(channel=0),Wed Jul  5 14:08:22 2023,
set_pressure(pressure=0; direction=2),Wed Jul  5 14:08:23 2023,
dispense(pressure=100),Wed Jul  5 14:08:24 2023,
set_pressure(pressure=100; direction=1),Wed Jul  5 14:08:24 2023,
set_pressure(pressure=0; direction=1),Wed Jul  5 14:08:26 2023,
set_pressure(pressure=-100; direction=None),Wed Jul  5 14:08:28 2023,
close_valve(channel=0),Wed Jul  5 14:08:29 2023,
set_pressure(pressure=0; direction=2),Wed Jul  5 14:08:30 2023,
dispense(pressure=100),Wed Jul  5 14:08:31 2023,
set_pressure(pressure=100; direction=1),Wed Jul  5 14:08:31 2023,
set_pressure(pressure=0; direction=1),Wed Jul  5 14:08:33 2023,
dispense(pressure=100),Wed Jul  5 14:10:45 2023,
set_pressure(pressure=100; direction=1),Wed Jul  5 14:10:45 2023,
set_pressure(pressure=0; direction=1),Wed Jul  5 14:10:47 2023,
