Seyonic Pipettor Initializing...,Thu Jul 27 13:57:13 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:51:45 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:51:48 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 14:51:50 2023,
close_valve(channel=0),Thu Jul 27 14:51:53 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 14:51:54 2023,
dispense(pressure=100),Thu Jul 27 14:51:55 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:51:55 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:51:58 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 14:52:11 2023,
close_valve(channel=0),Thu Jul 27 14:52:14 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 14:52:15 2023,
dispense(pressure=100),Thu Jul 27 14:52:24 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:52:24 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:52:28 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 14:52:59 2023,
close_valve(channel=0),Thu Jul 27 14:53:02 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 14:53:03 2023,
dispense(pressure=100),Thu Jul 27 14:53:12 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:53:12 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:53:15 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 14:53:27 2023,
close_valve(channel=0),Thu Jul 27 14:53:30 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 14:53:31 2023,
dispense(pressure=100),Thu Jul 27 14:53:32 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:53:32 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:53:35 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 14:53:47 2023,
close_valve(channel=0),Thu Jul 27 14:53:51 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 14:53:52 2023,
dispense(pressure=100),Thu Jul 27 14:54:01 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:54:01 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:54:05 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 14:54:38 2023,
close_valve(channel=0),Thu Jul 27 14:54:39 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 14:54:40 2023,
dispense(pressure=100),Thu Jul 27 14:54:50 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:54:50 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:54:52 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 14:55:04 2023,
close_valve(channel=0),Thu Jul 27 14:55:05 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 14:55:06 2023,
dispense(pressure=100),Thu Jul 27 14:55:17 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:55:17 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:55:18 2023,
