Seyonic Pipettor Initializing...,Fri Aug 25 15:13:17 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:24:33 2023,
dispense(pressure=100),Fri Aug 25 15:24:37 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 15:24:37 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:24:39 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 15:31:06 2023,
close_valve(channel=0),Fri Aug 25 15:31:08 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 15:31:09 2023,
dispense(pressure=100),Fri Aug 25 15:31:19 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 15:31:19 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:31:21 2023,
dispense(pressure=100),Fri Aug 25 15:31:25 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 15:31:25 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:31:28 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 15:31:39 2023,
close_valve(channel=0),Fri Aug 25 15:31:41 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 15:31:42 2023,
dispense(pressure=100),Fri Aug 25 15:31:52 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 15:31:52 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:31:55 2023,
dispense(pressure=100),Fri Aug 25 15:31:59 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 15:31:59 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:32:01 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 15:32:32 2023,
close_valve(channel=0),Fri Aug 25 15:32:34 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 15:32:35 2023,
dispense(pressure=100),Fri Aug 25 15:32:44 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 15:32:44 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:32:47 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 15:33:09 2023,
close_valve(channel=0),Fri Aug 25 15:33:10 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 15:33:11 2023,
dispense(pressure=100),Fri Aug 25 15:33:21 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 15:33:21 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:33:23 2023,
dispense(pressure=100),Fri Aug 25 15:33:27 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 15:33:27 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:33:29 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 15:33:38 2023,
close_valve(channel=0),Fri Aug 25 15:33:40 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 15:33:41 2023,
dispense(pressure=100),Fri Aug 25 15:33:50 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 15:33:50 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:33:52 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 15:34:14 2023,
close_valve(channel=0),Fri Aug 25 15:34:16 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 15:34:17 2023,
dispense(pressure=100),Fri Aug 25 15:34:27 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 15:34:27 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:34:29 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 15:35:02 2023,
close_valve(channel=0),Fri Aug 25 15:35:04 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 15:35:05 2023,
dispense(pressure=100),Fri Aug 25 15:35:15 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 15:35:15 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:35:17 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 15:35:28 2023,
close_valve(channel=0),Fri Aug 25 15:35:30 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 15:35:31 2023,
dispense(pressure=100),Fri Aug 25 15:35:41 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 15:35:41 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:35:43 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 15:39:17 2023,
close_valve(channel=0),Fri Aug 25 15:39:18 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 15:39:19 2023,
dispense(pressure=100),Fri Aug 25 15:39:29 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 15:39:29 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:39:31 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 15:39:33 2023,
close_valve(channel=0),Fri Aug 25 15:39:34 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 15:39:36 2023,
dispense(pressure=100),Fri Aug 25 15:39:37 2023,
